method,nbins_ts,model,alpha,test_cov,test_avg_size,test_score,test_score_impr_vs_global,cal_cov,cal_avg_size,cal_score,p_threshold
tempscale_global_cp,4.0,densenet121,0.03,0.960880195599022,8.814180929095354,0.8028450766837075,-0.0027783951989330813,0.9705882352941176,9.03186274509804,0.8027517825311943,0.002731011552764
tempscale_global_cp,5.0,densenet121,0.03,0.9584352078239609,8.398533007334963,0.8110691264725494,0.005445654589908755,0.971813725490196,8.625,0.8126114081996434,0.0032987682744175
global_cp,,densenet121,0.04,0.960880195599022,7.938875305623472,0.8227383863080684,,0.9607843137254902,8.112745098039216,0.8187388591800356,0.000650756934192
tempscale_global_cp,1.0,densenet121,0.04,0.9511002444987776,7.43520782396088,0.8292953989775507,0.006557012669482276,0.9620098039215688,7.525735294117647,0.8326927361853833,0.0046728382874722
tempscale_global_cp,2.0,densenet121,0.04,0.9535452322738386,7.200488997555012,0.8358524116470326,0.01311402533896422,0.9620098039215688,7.348039215686274,0.83673128342246,0.00527127976106
tempscale_global_cp,3.0,densenet121,0.04,0.9559902200488998,7.202933985330073,0.8370193376305846,0.014280951322516167,0.9620098039215688,7.350490196078431,0.8366755793226383,0.0048124401814336
tempscale_global_cp,4.0,densenet121,0.04,0.9559902200488998,7.30562347188264,0.8346854856634808,0.011947099355412383,0.9620098039215688,7.508578431372549,0.8330826648841356,0.0049435825298052
tempscale_global_cp,5.0,densenet121,0.04,0.9535452322738386,7.193154034229829,0.8360191153589687,0.013280729050900275,0.9620098039215688,7.3161764705882355,0.8374554367201427,0.0053277881860823
global_cp,,densenet121,0.05,0.9462102689486552,6.726161369193154,0.8429651033563014,,0.9522058823529412,6.859068627450981,0.8429422905525847,0.001284093945287
tempscale_global_cp,1.0,densenet121,0.05,0.9486552567237164,6.408312958435208,0.851411424761058,0.008446321404756651,0.9509803921568628,6.613970588235294,0.8478999554367201,0.0068407780911443
tempscale_global_cp,2.0,densenet121,0.05,0.9364303178484108,6.0440097799511,0.8535785730162259,0.01061346965992449,0.9522058823529412,6.238970588235294,0.8570354278074866,0.00839748756485
tempscale_global_cp,3.0,densenet121,0.05,0.9339853300733496,6.024449877750612,0.8528006223605245,0.009835519004223081,0.9509803921568628,6.193627450980392,0.8574532085561497,0.0079002458819412
tempscale_global_cp,4.0,densenet121,0.05,0.9339853300733496,6.12958435207824,0.8504112024894421,0.00744609913314076,0.9522058823529412,6.319852941176471,0.855197192513369,0.00790979382817
tempscale_global_cp,5.0,densenet121,0.05,0.9462102689486552,6.408312958435208,0.8501889308735274,0.007223827517226056,0.9522058823529412,6.575980392156863,0.8493761140819964,0.007232465448143
global_cp,,densenet121,0.06,0.9242053789731052,5.471882640586797,0.8604689931095799,,0.9399509803921569,5.6838235294117645,0.8635249554367201,0.002586574293673
tempscale_global_cp,1.0,densenet121,0.06,0.9242053789731052,5.3178484107579465,0.8639697710602356,0.0035007779506557313,0.9411764705882352,5.517156862745098,0.8679255793226381,0.0105811780856929
tempscale_global_cp,2.0,densenet121,0.06,0.9242053789731052,5.481662591687042,0.8602467214936653,-0.0002222716159145932,0.9411764705882352,5.677696078431373,0.8642769607843136,0.0105387656578948
tempscale_global_cp,3.0,densenet121,0.06,0.9266503667481664,5.47677261613692,0.8615803511891532,0.0011113580795732991,0.9399509803921569,5.665441176470588,0.8639427361853833,0.0099009216960854
tempscale_global_cp,4.0,densenet121,0.06,0.9266503667481664,5.618581907090465,0.8583574127583908,-0.0021115803511890796,0.9411764705882352,5.813725490196078,0.8611853832442067,0.0099197222438695
tempscale_global_cp,5.0,densenet121,0.06,0.9266503667481664,5.471882640586797,0.8616914869971105,0.0012224938875305957,0.9411764705882352,5.669117647058823,0.8644719251336899,0.0105811780856929
global_cp,,densenet121,0.07,0.9119804400977995,4.823960880195599,0.8690820182262725,,0.931372549019608,5.068627450980392,0.8732174688057042,0.0039254138246177
tempscale_global_cp,1.0,densenet121,0.07,0.9168704156479216,4.963325183374083,0.8683596354745499,-0.00072238275172265,0.9301470588235294,5.129901960784314,0.8712121212121213,0.012615128035011
tempscale_global_cp,2.0,densenet121,0.07,0.9119804400977995,4.865525672371638,0.8681373638586353,-0.0009446543676372432,0.9301470588235294,5.03186274509804,0.8734402852049912,0.0138142360883215
tempscale_global_cp,3.0,densenet121,0.07,0.9119804400977995,4.76039119804401,0.8705267837297177,0.001444765503445189,0.931372549019608,4.947303921568627,0.8759748217468807,0.0136341476892891
tempscale_global_cp,4.0,densenet121,0.07,0.9144254278728606,4.809290953545232,0.870637919537675,0.0015559013114024856,0.931372549019608,5.028186274509804,0.874136586452763,0.0140417155403231
tempscale_global_cp,5.0,densenet121,0.07,0.9168704156479216,4.880195599022005,0.8702489442098242,0.0011669259835517254,0.9301470588235294,5.079656862745098,0.872354055258467,0.013753641099788
global_cp,,densenet121,0.08,0.902200488997555,4.574572127139365,0.8698599688819737,,0.9215686274509804,4.785539215686274,0.8747493315508021,0.0047380249015985
tempscale_global_cp,1.0,densenet121,0.08,0.9070904645476772,4.4645476772616135,0.8748055123360746,0.00494554345410092,0.920343137254902,4.660539215686274,0.876977495543672,0.0157680396754943
tempscale_global_cp,2.0,densenet121,0.08,0.8997555012224939,4.488997555012225,0.8705823516336963,0.00072238275172265,0.920343137254902,4.675245098039215,0.8766432709447416,0.0163713650382133
tempscale_global_cp,3.0,densenet121,0.08,0.902200488997555,4.43520782396088,0.8730273394087575,0.0031673705267838415,0.920343137254902,4.6213235294117645,0.87786876114082,0.0160532342779312
tempscale_global_cp,4.0,densenet121,0.08,0.9070904645476772,4.518337408312958,0.873583018448544,0.0037230495665703245,0.9215686274509804,4.721813725490196,0.8761976381461676,0.0161836341001397
