model,alpha,k,n_cal,tau_score,threshold,cal_coverage,cal_avg_set_size,cal_std_set_size,test_coverage,test_avg_set_size,test_std_set_size
mobilenet_v3_large,0.03,793,816,0.9998717521957587,0.00012824780424125493,0.9705882352941176,7.492647058823529,5.203108542588221,0.9706601466992665,7.393643031784841,5.198421581681196
resnet50,0.04,785,816,0.9990964514436201,0.0009035485563798629,0.9620098039215687,5.748774509803922,4.9288805551571135,0.9462102689486552,5.386308068459658,4.575875391762722
convnext_tiny,0.04,785,816,0.9995139774982817,0.0004860225017182529,0.9607843137254902,5.824754901960785,4.396867254949216,0.960880195599022,5.880195599022005,4.306609598762936
densenet121,0.04,785,816,0.999349243065808,0.0006507569341920316,0.9607843137254902,8.112745098039216,5.977013991858447,0.960880195599022,7.938875305623472,6.074591869337482
efficientnet_b0,0.04,785,816,0.9995304690673948,0.00046953093260515555,0.9620098039215687,5.455882352941177,4.246747115262317,0.9657701711491442,5.154034229828851,3.959753360412241
mobilenet_v3_large,0.04,785,816,0.9997508852102329,0.0002491147897670798,0.9620098039215687,6.639705882352941,4.802105050862969,0.9633251833740831,6.569682151589242,4.832047849342204
resnet50,0.05,777,816,0.9986019979696721,0.0013980020303279161,0.9509803921568627,5.258578431372549,4.562643721710504,0.9437652811735942,4.965770171149145,4.297605575473784
convnext_tiny,0.05,777,816,0.999253211542964,0.0007467884570360184,0.9509803921568627,5.268382352941177,4.044874703589381,0.9559902200488998,5.308068459657702,3.9373722743314907
densenet121,0.05,777,816,0.9987159060547129,0.001284093945287057,0.9522058823529411,6.859068627450981,5.275803418264173,0.9462102689486552,6.726161369193154,5.453306712568728
efficientnet_b0,0.05,777,816,0.9988204557448626,0.0011795442551374435,0.9509803921568627,4.477941176470588,3.537633422865116,0.9486552567237164,4.271393643031785,3.3117716756186675
mobilenet_v3_large,0.05,777,816,0.9995026387041435,0.0004973612958565354,0.9509803921568627,5.78921568627451,4.297201985661087,0.9535452322738386,5.816625916870415,4.320280192371923
resnet50,0.06,768,816,0.9974850008729846,0.0025149991270153604,0.9411764705882353,4.6213235294117645,3.993244136903989,0.9339853300733496,4.3667481662591685,3.7615794343382
convnext_tiny,0.06,768,816,0.9984857639065013,0.0015142360934986554,0.9411764705882353,4.515931372549019,3.538013184117608,0.9511002444987775,4.530562347188264,3.3700919180241558
densenet121,0.06,768,816,0.997413425706327,0.0025865742936730385,0.9399509803921569,5.6838235294117645,4.5248362300416165,0.9242053789731052,5.471882640586797,4.578810598397463
efficientnet_b0,0.06,768,816,0.9976055941078812,0.0023944058921188116,0.9399509803921569,3.8419117647058822,3.051019465072955,0.9364303178484108,3.6894865525672373,2.8891127582431313
mobilenet_v3_large,0.06,768,816,0.9991977901663632,0.0008022098336367689,0.9411764705882353,5.261029411764706,3.9458607239893317,0.9486552567237164,5.286063569682152,3.999856174603984
resnet50,0.07,760,816,0.9954685447737575,0.004531455226242542,0.9301470588235294,4.0245098039215685,3.3844664655371433,0.921760391198044,3.8508557457212715,3.313631309029252
convnext_tiny,0.07,760,816,0.9977544364519418,0.0022455635480581604,0.9313725490196079,4.120098039215686,3.2563727783161,0.9437652811735942,4.134474327628362,3.062103880736682
densenet121,0.07,760,816,0.9960745861753822,0.003925413824617752,0.9313725490196079,5.068627450980392,4.053651972002121,0.9119804400977995,4.823960880195599,4.0828806822061985
efficientnet_b0,0.07,760,816,0.9966248294804246,0.0033751705195753656,0.9313725490196079,3.5575980392156863,2.820018903508164,0.9290953545232273,3.4034229828850857,2.653353043248778
mobilenet_v3_large,0.07,760,816,0.9988066194346175,0.0011933805653825402,0.9301470588235294,4.861519607843137,3.651262781086507,0.941320293398533,4.887530562347188,3.714975788941497
resnet50,0.08,752,816,0.9931739834137261,0.006826016586273909,0.9203431372549019,3.6519607843137254,3.0102395524073193,0.9095354523227384,3.452322738386308,2.927774489985882
convnext_tiny,0.08,752,816,0.9970940963830799,0.0029059036169201136,0.9203431372549019,3.8333333333333335,3.0261302372302046,0.9388753056234719,3.8655256723716382,2.908575855939807
densenet121,0.08,752,816,0.9952619750984014,0.004738024901598581,0.9215686274509803,4.785539215686274,3.83261261589153,0.902200488997555,4.574572127139365,3.903233812043047
efficientnet_b0,0.08,752,816,0.994365201331675,0.005634798668324947,0.9203431372549019,3.1666666666666665,2.4895692419020903,0.9095354523227384,2.9902200488997557,2.2632837068591978
mobilenet_v3_large,0.08,752,816,0.998145549907349,0.00185445009265095,0.9203431372549019,4.4375,3.3759911064634402,0.9266503667481663,4.427872860635697,3.3159308904243576
resnet50,0.09,744,816,0.9908295264467597,0.0091704735532403,0.9117647058823529,3.392156862745098,2.7799699437668965,0.902200488997555,3.2322738386308068,2.7210751485477753
convnext_tiny,0.09,744,816,0.9962124172598124,0.003787582740187645,0.9105392156862745,3.5723039215686274,2.7890526721687854,0.9290953545232273,3.5965770171149143,2.715440241554007
densenet121,0.09,744,816,0.9940284891054035,0.005971510894596466,0.9117647058823529,4.432598039215686,3.5629816031642583,0.8899755501222494,4.273838630806846,3.618894477406331
efficientnet_b0,0.09,744,816,0.9930368661880494,0.006963133811950573,0.9117647058823529,3.0073529411764706,2.3171687511469576,0.8997555012224939,2.860635696821516,2.167640939352712
mobilenet_v3_large,0.09,744,816,0.9970379245933146,0.0029620754066853605,0.9117647058823529,4.015931372549019,3.01830669876337,0.9168704156479217,3.9926650366748166,2.961757061268792
resnet50,0.1,736,816,0.9882109891623259,0.011789010837674141,0.9007352941176471,3.178921568627451,2.578313866433055,0.8948655256723717,3.0513447432762835,2.5581098262802873
convnext_tiny,0.1,736,816,0.99560492252931,0.004395077470690012,0.9007352941176471,3.4276960784313726,2.6574894902809922,0.9266503667481663,3.4621026894865525,2.5865709906030077
densenet121,0.1,736,816,0.9914805181324482,0.008519481867551804,0.9007352941176471,3.980392156862745,3.1776995720097077,0.8753056234718827,3.843520782396088,3.2629776076195864
efficientnet_b0,0.1,736,816,0.9902641521766782,0.00973584782332182,0.9007352941176471,2.7598039215686274,2.067843655796772,0.882640586797066,2.6185819070904643,1.9744065734840286
mobilenet_v3_large,0.1,736,816,0.9960603574290872,0.003939642570912838,0.9007352941176471,3.7549019607843137,2.851967438906887,0.9144254278728606,3.7579462102689485,2.771102931665276
