method,nbins_ts,model,alpha,p_threshold,cal_cov,cal_avg_size,cal_std_size,test_cov,test_avg_size,test_std_size,cal_score,test_score
global_cp,,resnet50,0.07,0.0045314552262425,0.9301470588235294,4.0245098039215685,3.3844664655371437,0.921760391198044,3.850855745721272,3.313631309029252,0.8963346702317291,0.8960880195599021
global_cp,,convnext_tiny,0.07,0.0022455635480581,0.931372549019608,4.120098039215686,3.2563727783161,0.9437652811735942,4.134474327628362,3.062103880736682,0.8947749554367201,0.9006445876861525
global_cp,,densenet121,0.07,0.0039254138246177,0.931372549019608,5.068627450980392,4.053651972002121,0.9119804400977995,4.823960880195599,4.082880682206199,0.8732174688057042,0.8690820182262725
global_cp,,efficientnet_b0,0.07,0.0033751705195753,0.931372549019608,3.5575980392156863,2.820018903508164,0.9290953545232272,3.4034229828850857,2.653353043248778,0.9075590463458111,0.9099244276505889
global_cp,,mobilenet_v3_large,0.07,0.0011933805653825,0.9301470588235294,4.861519607843137,3.651262781086507,0.941320293398533,4.887530562347188,3.714975788941497,0.8773117201426026,0.882307179373194
global_cp,,resnet50,0.08,0.0068260165862739,0.920343137254902,3.651960784313725,3.0102395524073198,0.9095354523227384,3.452322738386308,2.927774489985882,0.8998997326203209,0.8990331184707713
global_cp,,convnext_tiny,0.08,0.0029059036169201,0.920343137254902,3.8333333333333335,3.0261302372302046,0.938875305623472,3.8655256723716382,2.908575855939807,0.8957776292335116,0.9043120693487442
global_cp,,densenet121,0.08,0.0047380249015985,0.9215686274509804,4.785539215686274,3.83261261589153,0.902200488997555,4.574572127139365,3.903233812043047,0.8747493315508021,0.8698599688819737
global_cp,,efficientnet_b0,0.08,0.0056347986683249,0.920343137254902,3.1666666666666665,2.4895692419020903,0.9095354523227384,2.990220048899756,2.2632837068591978,0.9109291443850267,0.9095354523227384
global_cp,,mobilenet_v3_large,0.08,0.0018544500926509,0.920343137254902,4.4375,3.37599110646344,0.9266503667481664,4.427872860635697,3.3159308904243576,0.882046568627451,0.8854189819959992
global_cp,,resnet50,0.09,0.0091704735532403,0.9117647058823528,3.392156862745098,2.7799699437668965,0.902200488997555,3.2322738386308068,2.7210751485477758,0.9015151515151515,0.9003667481662592
global_cp,,convnext_tiny,0.09,0.0037875827401876,0.9105392156862744,3.5723039215686274,2.7890526721687854,0.9290953545232272,3.5965770171149143,2.715440241554007,0.8968081550802138,0.9055345632362747
global_cp,,densenet121,0.09,0.0059715108945964,0.9117647058823528,4.432598039215686,3.5629816031642583,0.8899755501222494,4.273838630806846,3.618894477406331,0.8778687611408198,0.8705823516336963
global_cp,,efficientnet_b0,0.09,0.0069631338119505,0.9117647058823528,3.0073529411764706,2.3171687511469576,0.8997555012224939,2.860635696821516,2.167640939352712,0.9102606951871657,0.9075905756834852
global_cp,,mobilenet_v3_large,0.09,0.0029620754066853,0.9117647058823528,4.015931372549019,3.01830669876337,0.9168704156479216,3.9926650366748166,2.961757061268792,0.8873384581105168,0.8904200933540787
global_cp,,resnet50,0.1,0.0117890108376741,0.9007352941176472,3.178921568627451,2.578313866433055,0.8948655256723717,3.0513447432762835,2.5581098262802877,0.9008467023172906,0.9008112913980886
global_cp,,convnext_tiny,0.1,0.00439507747069,0.9007352941176472,3.4276960784313726,2.657489490280992,0.9266503667481664,3.4621026894865525,2.586570990603008,0.8951927361853833,0.9073683040675706
global_cp,,densenet121,0.1,0.0085194818675518,0.9007352941176472,3.980392156862745,3.177699572009708,0.8753056234718827,3.843520782396088,3.2629776076195864,0.8826314616755794,0.8730273394087575
global_cp,,efficientnet_b0,0.1,0.0097358478233218,0.9007352941176472,2.7598039215686274,2.067843655796772,0.882640586797066,2.6185819070904643,1.9744065734840288,0.9103721033868093,0.9045343409646588
global_cp,,mobilenet_v3_large,0.1,0.0039396425709128,0.9007352941176472,3.7549019607843137,2.851967438906887,0.9144254278728606,3.757946210268949,2.771102931665276,0.8877562388591802,0.8945321182484998
